,Negative_Words,Positive_Words,Neutral_Words
0,,allow,flower
1,,mature,sometimes
2,,,known
3,,,bloom
4,,,blossom
5,,,reproductive
6,,,structure
7,,,found
8,,,flowering
9,,,plant
10,,,division
11,,,also
12,,,angiosperm
13,,,biological
14,,,function
15,,,facilitate
16,,,reproduction
17,,,usually
18,,,providing
19,,,mechanism
20,,,union
21,,,sperm
22,,,egg
23,,,may
24,,,outcrossing
25,,,fusion
26,,,different
27,,,individual
28,,,population
29,,,resulting
30,,,cross
31,,,pollination
32,,,self
33,,,two
34,,,type
35,,,pollen
36,,,anther
37,,,stigma
38,,,another
39,,,transfer
40,,,one
41,,,specie
42,,,stamen
43,,,carpel
44,,,time
45,,,positioned
