,Negative_Words,Positive_Words,Neutral_Words
0,mistake,bold,log
1,error,clear,writing
2,,free,powered
3,,improve,assistant
4,,help,add
5,,better,million
6,,favorite,people
7,,perfect,use
8,,great,reader
9,,confident,feedback
10,,best,theme
11,,like,see
12,,brilliant,change
13,,accomplish,understand
14,,trust,message
15,,,show
16,,,correction
17,,,write
18,,,twitter
19,,,site
20,,,grammar
21,,,spelling
22,,,style
23,,,tone
24,,,eliminate
25,,,find
26,,,word
27,,,express
28,,,everyone
29,,,writer
30,,,get
31,,,communication
32,,,feel
33,,,foot
34,,,forward
35,,,little
36,,,superpower
37,,,especially
38,,,need
39,,,founder
40,,,power
41,,,fingertip
42,,,feature
43,,,privacy
